python2-configobj 5.0.6-4
python2-dbus 1.2.8-2
python2-exiv2 0.3.2-18
python2-gobject 3.30.1-3
python2-gobject2 2.28.7-2
python2-httplib2 0.11.3-2
python2-idna 2.7-3
python2-lxml 4.2.5-1
python2-olefile 0.46-1
python2-packaging 17.1-2
python2-pillow 5.2.0-3
python2-pycurl 7.43.0.2-2
python2-pyparsing 2.2.1-1
python2-requests 2.19.1-2
python2-setuptools 1:40.4.1-1
python2-six 1.11.0-3
python2-urllib3 1.23-2
python2-urwid 2.0.1-2
python2-virtualenv 16.0.0-1
qpdf 8.2.1-1
qscintilla-qt5 2.10.7-3
qt4 4.8.7-25
qt5-base 5.11.1-3
qt5-declarative 5.11.1-2
qt5-multimedia 5.11.1-1
qt5-script 5.11.1-1
qt5-speech 5.11.1-1
qt5-svg 5.11.1-1
qt5-x11extras 5.11.1-1
qt5-xmlpatterns 5.11.1-1
readline 7.0.005-1
recode 3.7-1
redis 4.0.11-1
redshift 1.12-2
reiserfsprogs 3.6.27-1
rescuetime 2.10.1.1355-1
rest 0.8.1-1
rhash 1.3.6-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.5.1-2
rubygems 2.7.7-1
run-parts 4.8.6-1
rxvt-unicode 9.22-7
rxvt-unicode-terminfo 9.22-7
s-nail 14.9.11-1
s3cmd 2.0.2-2
sbc 1.3-2
scrot 0.8.18-1
sdl 1.2.15-9
sdl2 2.0.8-9
sed 4.5-1
semver 5.5.1-1
sgml-common 0.6.3-5
shadow 4.6-1
shared-mime-info 1.10-1
skypeforlinux-bin 8.8.76.60544-1
slack-desktop 3.3.1-1
slang 2.3.2-1
slim 1.3.6-7
smbclient 4.8.5-1
solid 5.50.0-1
sonnet 5.50.0-1
sound-theme-freedesktop 0.8-3
soundtouch 2.0.0-1
spandsp 0.0.6-2
speex 1.2.0-1
speexdsp 1.2rc3-3
sqlite 3.25.0-1
srt 1.3.1-1
startup-notification 0.12-5
sublime-text 2.0.2-4
sudo 1.8.25.p1-1
sysfsutils 2.1.0-10
systemd 239.2-1
systemd-sysvcompat 239.2-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.16-1
tevent 1:0.9.37-1
texinfo 6.5-1
the_silver_searcher 2.2.0-1
thin-provisioning-tools 0.7.6-1
thunar 1.8.1.11.gf5147445-1
thunar-volman 0.8.1-2
tk 8.6.8-3
tmux 2.7-1
transmission-gtk 2.94-1
tree 1.7.0-2
tslib 1.17-1
ttf-dejavu 2.37-2
ttf-liberation 2.00.1-7
tumbler 0.2.3-1
twolame 0.3.13-8
tzdata 2018e-2
udisks2 2.8.0-1
unibilium 2.0.0-1
unrar 1:5.6.6-1
unzip 6.0-12
upower 0.99.8-2
urxvt-perls 2.2-2
usbasp-udev 0.1-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 010-1
util-linux 2.32.1-2
v4l-utils 1.14.2-1
variety 0.6.9-1
vi 1:070224-3
vid.stab 1.1-2
vim-runtime 8.1.0374-1
visual-studio-code 1.18.0-2
volume_key 0.3.11-2
vulkan-icd-loader 1.1.82+2958+1f9a54573-1
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.16-1
webkit2gtk 2.22.0-2
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
wicd 1.7.4-2
wildmidi 0.4.2-1
wireless_tools 30.pre9-2
woff2 1.0.2-1
wordpress 4.9.8-1
wpa_supplicant 1:2.6-12
x264 2:155.r0a84d986-2
x265 2.8-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-1
xdg-utils 1.1.3-3
xerces-c 3.2.1-2
xf86-input-libinput 0.28.0-1
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+847+g25c9a2fc-1
xfconf 4.12.1-5
xfdesktop 4.12.4-2
xfsprogs 4.17.0-1
xfwm4 4.12.5-1
xfwm4-themes 4.10.0-3
xkeyboard-config 2.24-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.4-5
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.1-1
xorg-server-common 1.20.1-1
xorg-server-utils 7.6-4
xorg-server-xwayland 1.20.1-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-2
xorg-twm 1.0.10-1
xorg-utils 7.6-9
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xclock 1.0.7-2
xorg-xcmsdb 1.0.5-2
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.2-2
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.7-2
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xkbcomp 1.4.2-1
xorg-xlsatoms 1.1.2-2
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.9-2
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.3-2
xorg-xwininfo 1.1.4-1
xorgproto 2018.4-1
xprintidle 0.2.2-2
xsel 1.2.0.20160929-1
xterm 335-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yaourt 1.9-1
yarn 1.9.4-1
zenity 3.28.1-1
zeromq 4.2.5-1
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zoom 2.0.115900.1201-1
zstd 1.3.5-1
zvbi 0.2.35-3
